year,muq_weighted,country
2005,0.2538551284639396,Spain
2006,0.2563195691893948,Spain
2007,0.22615496056630233,Spain
2008,0.11271680964321912,Spain
2009,-0.15787266434663158,Spain
2010,0.017283714269869046,Spain
2011,-0.040170560288200347,Spain
2012,-0.16702516910637347,Spain
2013,-0.05833929400620021,Spain
2014,0.07234020272057792,Spain
2015,0.24436538390683166,Spain
2016,0.17533677313838486,Spain
2017,0.21120277820831376,Spain
2018,0.17707427813904913,Spain
2019,0.16421085628764204,Spain
2020,-0.4997851371053753,Spain
2021,0.4247166642251711,Spain
2022,0.4887943426211726,Spain
2023,0.3953457794191113,Spain
2001,-0.24298063166281425,Sweden
2002,0.21997291007189956,Sweden
2003,0.19030654389383628,Sweden
2004,0.20645288558386274,Sweden
2005,0.08296450394002867,Sweden
2006,0.28317622005697546,Sweden
2007,0.2518179969117176,Sweden
2008,-0.06265142367671447,Sweden
2009,-0.5418617513287527,Sweden
2010,0.7228901291134093,Sweden
2011,0.41233038149997164,Sweden
2012,0.1849351009961032,Sweden
2013,0.12322328393901483,Sweden
2014,-0.04213878354258813,Sweden
2015,0.1588321196081738,Sweden
2016,0.10458027926278181,Sweden
2017,0.09355133619073927,Sweden
2018,-0.07924805634180522,Sweden
2019,0.07473866502415012,Sweden
2020,0.03328417460805266,Sweden
