country_code,country_name,region,continent,income_group,latest_q_year,latest_q,latest_urban_pct,avg_q_2010s,avg_ci_gdp_2010s,avg_muq_2010s,q_crossover_year,q_crossover_urban_pct,q_crossover_services_pct,q_crossover_hc,ever_above_1,ever_below_1,gdp_per_capita
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",MENA,Lower middle income,2019.0,1.9336137598676844,68.8206382576031,2.346388266813837,0.21838439507311871,16.72361252119837,,,,,True,False,3528.8721330679764
ZWE,Zimbabwe,Sub-Saharan Africa,Africa,Lower middle income,2019.0,2.567600751643254,36.1837638266364,2.2481233323938192,0.11367770231473862,11.712293075298033,1992.0,30.5674246988034,47.1021465581051,1.8783131837844849,True,True,2184.329238554686
HKG,"Hong Kong SAR, China",East Asia & Pacific,East Asia & Pacific,High income,2019.0,2.182898829628173,100.0,2.2050975772917596,0.22375756960436077,17.491408905022762,,,,,True,False,48359.00119505973
BLZ,Belize,Latin America & Caribbean,Latin America,Upper middle income,2019.0,2.275281988359802,42.9077622153323,2.180105823543353,0.1559386562362394,9.948916071286689,,,,,True,False,6171.614497614228
TZA,Tanzania,Sub-Saharan Africa,Africa,Low income,2019.0,2.154246844607355,33.3475258518752,2.1620167535278823,0.34742534165007916,16.0180232294363,,,,,True,False,1031.2943698691613
CIV,Cote d'Ivoire,Sub-Saharan Africa,Africa,Lower middle income,2019.0,2.2140030372514334,51.3514799771241,2.127020557167492,0.21228206414691636,13.796834464478128,,,,,True,True,2141.768361701147
BEL,Belgium,Europe & Central Asia,Europe & Central Asia,High income,2019.0,1.9229976484772746,87.0961631189222,2.1080833950432765,0.23073079633454346,20.87003136429885,,,,,True,False,46716.62274679641
CRI,Costa Rica,Latin America & Caribbean,Latin America,High income,2019.0,1.968824091793029,77.0435864735963,2.098038103944594,0.18902160367546675,20.847708651744213,1981.0,43.2033493398183,50.3597899017053,1.9803529977798464,True,True,12884.68599519887
ARM,Armenia,Europe & Central Asia,Europe & Central Asia,Upper middle income,2019.0,2.1028930905240286,65.0047033570428,2.096683597438598,0.22309342586957576,3.6729275157743353,,,,,True,True,4597.2288739954765
AZE,Azerbaijan,Europe & Central Asia,Europe & Central Asia,Upper middle income,2019.0,1.7044808280287695,58.1308191977779,2.0827212548189933,0.2325245266728586,14.355163175193647,1992.0,52.9185485839844,28.8230534636211,,True,True,4805.753717659169
